agentura;ANO 2011;Koalice Spolu (ODS, TOP 09, KDU-ČSL);Koalice PIRÁTI a STAROSTOVÉ;Svoboda a přímá demokracie – Tomio Okamura (SPD);Komunistická strana Čech a Moravy (KSČM);Přísaha Roberta Šlachty;Jiné;Česká strana sociálně demokratická (ČSSD);Trikolóra, Svobodní a Soukromníci
STEM;0.273;0.214;0.174;0.123;0.065;0.057;0.033;0.044;0.018
Median;0.252;0.209;0.194;0.101;0.044;0.039;0.037;0.056;0.045
Kantar CZ;0.245;0.23;0.205;0.115;0.05;0.04;0.045;0.045;0.025
Ipsos;0.274;0.247;0.173;0.096;0.041;0.055;0.037;0.041;0.035
Data Collect;0.25;0.22;0.21;0.09;0.055;0.045;0.055;0.04;0.035
